id	title	description	availability	availability_date	expiration_date	link	mobile_link	image_link	price	sale_price	sale_price_effective_date	identifier_exists	gtin	mpn	brand
ym-0915	Single Phase 230V 30A Household Din Rail Energy Meter LCD Display - YOMIN YEMO15SD	Factory Single Phase 230V 30A Din Rail Energy Meter with LCD display. Class 1.0 accuracy 5(32)A 50/60Hz. Compact PC housing CE/RoHS certified. 116x17.5x63mm.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0915&product=factory-single-phase-230v-30a-household-din-rail-energy-meter		https://s.alicdn.com/@sc04/kf/Ha9541917da4043fe834cf3e7398f8937J.png_960x960q80.jpg	7.23 USD	6.10 USD		no		YEMO15SD	YOMIN
ym-0863	Wattmeter Single Phase Digital Electric Power Smart Din Rail kWh Meter	YOMIN single phase digital wattmeter. Smart din rail kWh meter for residential and commercial energy monitoring. CE certified.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0863&product=wattmeter-single-phase-digital-electric-power-smart-analog-digital-din-rail-kilo		https://s.alicdn.com/@sc04/kf/Hc963c9a09b224e618ee64072112eb9dca.jpg_640x640.jpg	6.10 USD			no		YEM-0863	YOMIN
ym-0812	Wholesale Digital Power Kilowatt Hour Energy Meter 220V 40A Single Phase	YOMIN digital kWh energy meter 220V 40A single phase. Compact wattmeter for residential and commercial sub-metering.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0812&product=wholesale-digital-power-kilowatt-hour-energy-meter-220v-40a		https://s.alicdn.com/@sc04/kf/Hdcd19a1c53e64ec3832f9678b27001a1b.jpg_640x640.jpg	2.50 USD			no		YEM-0812	YOMIN
ym-0845	Three Phase 380V WIFI Din Rail Smart Energy Meter with Relay	YOMIN three phase 380V WIFI din rail smart energy meter. Remote reading via APP. Built-in relay 7P connection.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0845&product=three-phase-380v-wifi-din-rail-smart-energy-meter		https://s.alicdn.com/@sc04/kf/Hd4844b24974c4a54bd018ce1e03b89bdG.jpg_640x640.jpg	32.80 USD			no		YEM-0845	YOMIN
ym-0877	Single Phase Prepaid KWH Meter Front Board Digital IC Card Energy Meter	YOMIN prepaid kWh meter front board installation. Digital IC card prepaid electricity meter with multiple pricing tiers.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0877&product=single-phase-prepaid-kwh-meter-front-board-digital-ic-card		https://s.alicdn.com/@sc04/kf/Hd2b763a222984dfa9f81fffd8d56560bi.png_640x640.png	10.08 USD			no		YEM-0877	YOMIN
ym-0835	Front Board Installation Analog Electric 50Hz 127V 230V KWH Energy Meter	YOMIN single phase analog KWH energy meter front board installation. 50Hz 127V/230V output PC transparent cover.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0835&product=front-board-installation-analog-electric-kwh-energy-meter		https://s.alicdn.com/@sc04/kf/Hfaf1857d1e1e4818b7ea68529c45ee09x.jpg_640x640.jpg	5.44 USD			no		YEM-0835	YOMIN
ym-0856	Factory Price 4P LCD 230V Three Phase 4 Wire Energy Meter with Backlight	YOMIN 4P LCD three phase 4 wire energy meter 230V rail-mounted. Transparent cover backlight display AC active monitoring.	in_stock			https://www.yominelectric.com/products?category=energy-meter&id=ym-0856&product=factory-price-4p-lcd-230v-three-phase-energy-meter		https://s.alicdn.com/@sc04/kf/He3b475d5e1a94551a7cc74036e52f31bc.png_640x640.png	9.80 USD			no		YEM-0856	YOMIN
ym-0234	Factory YEM082RP Three Phase 3 Wire Electromechanical AC Active Meter	YOMIN YEM082RP Three Phase 3 Wire Electromechanical AC Active Meter 230/400V. Analog display front board mount.	in_stock			https://www.yominelectric.com/products?category=current-transformer&id=ym-0234&product=factory-yem082rp-three-phase-3-wire-electromechanical-ac-active-meter		https://s.alicdn.com/@sc04/kf/Hd0dae51cd3734ef6ae315b1275c703a3s.png_640x640.png	22.50 USD			no		YEM082RP	YOMIN
ym-0765	Autotransformer JBK5 100VA Single Phase 220V Machine Tool Control Transformer	YOMIN JBK5 100VA single phase autotransformer 240VAC. Machine tool control insulation transformer.	in_stock			https://www.yominelectric.com/products?category=variac-transformers&id=ym-0765&product=autotransformer-jbk5-100va-single-phase-220v		https://s.alicdn.com/@sc04/kf/H2b781cb72b14413db587db11c6f7b831k.jpg_640x640.jpg	9.83 USD			no		JBK5-100VA	YOMIN
ym-0768	TC Step Up and Down Transformer Single Phase 5000VA 110V to 240V	YOMIN TC step up down transformer 5000VA single phase. Multi-voltage 110-240V overload protection. 35+ units sold.	in_stock			https://www.yominelectric.com/products?category=variac-transformers&id=ym-0768&product=tc-step-up-down-transformer-single-phase-5000va		https://s.alicdn.com/@sc04/kf/HTB1uDKbeBLN8KJjSZFpq6zZaVXaS.jpg_640x640.jpg	59.00 USD	18.00 USD		no		TC-5000VA	YOMIN
ym-0792	0.5KVA to 20KVA Auto Transformer TDGC2 Single Phase Variac Voltage Regulator	YOMIN TDGC2 auto transformer variac 0.5KVA to 20KVA. Single phase 0-250V voltage regulator for lab and industrial use.	in_stock			https://www.yominelectric.com/products?category=variac-transformers&id=ym-0792&product=auto-transformer-tdgc2-single-phase-variac-voltage-regulator		https://s.alicdn.com/@sc04/kf/H0dfbfb6faebc4de0ae9d45bdbde9a9dbs.png_640x640.png	14.51 USD			no		TDGC2	YOMIN
ym-1057	JDZ8-10R High Voltage Single Phase Dry Type Transformer 10KV with Fuse	YOMIN JDZ8-10R 10KV high voltage dry type single phase transformer with built-in fuse. 220V 60Hz epoxy resin cast. CE ISO9001.	in_stock			https://www.yominelectric.com/products?category=current-transformer&id=ym-1057&product=jdz810r-high-voltage-singlephase-dry-type-transformer-10kv-with-fuse-220v-input-		https://s.alicdn.com/@sc04/kf/Hfa8a232574154866913b4116f7e0c765a.jpg_640x640.jpg	163.00 USD			no		JDZ8-10R	YOMIN
ym-1042	JDZC-6/10 Indoor Single Phase Voltage Transformer 10KV Potential 380V	YOMIN JDZC-6/10 indoor single phase voltage transformer 10KV input 200V-440V output. Toroidal copper core epoxy encapsulated. ISO9001 IEC60076.	in_stock			https://www.yominelectric.com/products?category=current-transformer&id=ym-1042&product=jdzc610-indoor-singlephase-power-source-voltage-transformer-10-kv-potential-380v		https://s.alicdn.com/@sc04/kf/Hfa8a232574154866913b4116f7e0c765a.jpg_640x640.jpg	177.00 USD			no		JDZC-6/10	YOMIN
ym-0894	YOMIN 10KV Outdoor Single Phase High Voltage Current Transformer	YOMIN 10KV outdoor single phase high voltage current transformer for metering and protection. Weather-resistant CE certified.	in_stock			https://www.yominelectric.com/products?category=current-transformer&id=ym-0894&product=yomin-10kv-outdoor-single-phase-high-voltage-current-transformer		https://s.alicdn.com/@sc04/kf/Hd11be3c1c6864a1288741f048572d3cfp.jpg_640x640.jpg	85.00 USD			no		YEM-0894	YOMIN